,bootstrap,ccp_alpha,class_weight,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_jobs,oob_score,random_state,verbose,warm_start,score,best_parameters
169,False,0.0,,entropy,,0.1,,,0.0,5,10,0.0,2,-1,False,42,0,False,0.8274285714285714,
170,True,0.0,,gini,,0.1,,,0.0,5,10,0.0,2,-1,False,42,0,False,0.8172857142857143,
171,True,0.0,,entropy,,0.1,,,0.0,5,10,0.0,2,-1,False,42,0,False,0.825,
172,False,0.0,,gini,,0.1,,,0.0,7,10,0.0,2,-1,False,42,0,False,0.838,
173,False,0.0,,entropy,,0.1,,,0.0,7,10,0.0,2,-1,False,42,0,False,0.8382857142857143,
174,True,0.0,,gini,,0.1,,,0.0,7,10,0.0,2,-1,False,42,0,False,0.8228571428571428,
175,True,0.0,,entropy,,0.1,,,0.0,7,10,0.0,2,-1,False,42,0,False,0.8188571428571428,
176,False,0.0,,gini,,0.1,,,0.0,9,10,0.0,2,-1,False,42,0,False,0.8338571428571429,
177,False,0.0,,entropy,,0.1,,,0.0,9,10,0.0,2,-1,False,42,0,False,0.8351428571428572,
178,True,0.0,,gini,,0.1,,,0.0,9,10,0.0,2,-1,False,42,0,False,0.8262857142857143,
179,True,0.0,,entropy,,0.1,,,0.0,9,10,0.0,2,-1,False,42,0,False,0.8262857142857143,
180,False,0.0,,gini,,0.1,,,0.0,11,10,0.0,2,-1,False,42,0,False,0.8391428571428572,
181,False,0.0,,entropy,,0.1,,,0.0,11,10,0.0,2,-1,False,42,0,False,0.8335714285714285,
182,True,0.0,,gini,,0.1,,,0.0,11,10,0.0,2,-1,False,42,0,False,0.8254285714285714,
183,True,0.0,,entropy,,0.1,,,0.0,11,10,0.0,2,-1,False,42,0,False,0.8274285714285714,
184,False,0.0,,gini,,0.1,,,0.0,13,10,0.0,2,-1,False,42,0,False,0.8372857142857143,
185,False,0.0,,entropy,,0.1,,,0.0,13,10,0.0,2,-1,False,42,0,False,0.8442857142857143,
186,True,0.0,,gini,,0.1,,,0.0,13,10,0.0,2,-1,False,42,0,False,0.8314285714285714,
187,True,0.0,,entropy,,0.1,,,0.0,13,10,0.0,2,-1,False,42,0,False,0.8344285714285714,
188,False,0.0,,gini,,0.1,,,0.0,15,10,0.0,2,-1,False,42,0,False,0.8374285714285714,
189,False,0.0,,entropy,,0.1,,,0.0,15,10,0.0,2,-1,False,42,0,False,0.8441428571428572,
190,True,0.0,,gini,,0.1,,,0.0,15,10,0.0,2,-1,False,42,0,False,0.8231428571428572,
191,True,0.0,,entropy,,0.1,,,0.0,15,10,0.0,2,-1,False,42,0,False,0.8258571428571428,
192,False,0.0,,gini,,0.1,,,0.0,17,10,0.0,2,-1,False,42,0,False,0.8451428571428572,
193,False,0.0,,entropy,,0.1,,,0.0,17,10,0.0,2,-1,False,42,0,False,0.8424285714285714,
194,True,0.0,,gini,,0.1,,,0.0,17,10,0.0,2,-1,False,42,0,False,0.8294285714285714,
